order_id,customer_id,customer_state,customer_city,order_status,order_purchase_timestamp,order_approved_at,order_delivered_customer_date,order_estimated_delivery_date,is_late,delivery_days,promised_days,n_items,total_price,total_freight,freight_to_price_ratio,cross_state,product_category,avg_review_score
O00415,C00756,SP,ribeirao preto,delivered,2018-03-17 18:47:37,2018-03-18 16:47:37,2018-03-20 18:47:37,2018-04-10 18:47:37,0,3,24,2,245.98,31.8,0.2502,1,casa_lavanderia,5.0
O00421,C01652,PR,maringa,delivered,2017-01-07 09:03:36,2017-01-08 08:03:36,2017-01-13 09:03:36,2017-02-01 09:03:36,0,6,25,1,161.08,22.29,0.1384,1,seguros_servicos,5.0
O00432,C00517,ES,linhares,delivered,2018-06-24 07:20:27,2018-06-25 05:20:27,2018-07-21 07:20:27,2018-06-29 07:20:27,1,27,5,3,638.33,116.93,0.264,1,casa_conforto,2.0
O00433,C01112,RO,vilhena,delivered,2017-10-21 03:15:44,2017-10-21 15:15:44,2017-11-06 03:15:44,2017-10-26 03:15:44,1,16,5,1,91.68,41.58,0.4535,1,construcao_ferramentas,2.0
O00468,C01760,AC,feijo,delivered,2018-05-21 12:56:34,2018-05-22 20:56:34,2018-06-02 12:56:34,2018-06-09 12:56:34,0,12,19,1,18.37,26.88,1.4633,1,cool_stuff,5.0
O00485,C01468,PB,bayeux,delivered,2018-07-16 14:05:48,2018-07-17 18:05:48,2018-07-22 14:05:48,2018-07-25 14:05:48,0,6,9,1,142.85,28.0,0.196,1,casa_conforto_2,3.0
O00490,C01412,SC,sao jose,delivered,2018-07-23 18:34:34,2018-07-24 16:34:34,2018-08-17 18:34:34,2018-08-05 18:34:34,1,25,13,5,816.77,179.44,0.4845,1,bebes,5.0
O00501,C00988,RN,natal,delivered,2017-05-31 10:54:52,2017-06-01 17:54:52,2017-06-03 10:54:52,2017-06-07 10:54:52,0,3,7,3,503.43,108.37,0.3976,1,casa_banheiro,4.0
O00506,C00817,AP,macapa,delivered,2017-02-01 13:01:22,2017-02-02 11:01:22,2017-02-12 13:01:22,2017-02-23 13:01:22,0,11,22,1,145.39,42.63,0.2932,1,casa_conforto,5.0
O00515,C00998,AP,porto grande,delivered,2017-12-10 23:21:18,2017-12-12 12:21:18,2017-12-26 23:21:18,2017-12-18 23:21:18,1,16,8,1,16.16,26.93,1.6665,1,casa_outros,2.0
O00519,C01054,SE,estancia,delivered,2017-11-15 19:10:45,2017-11-17 13:10:45,2017-12-15 19:10:45,2017-12-07 19:10:45,1,30,22,3,1119.39,73.4,0.0686,1,casa_jardim,3.0
O00539,C01929,AM,coari,delivered,2018-08-31 22:05:19,2018-09-01 01:05:19,2018-09-15 22:05:19,2018-09-20 22:05:19,0,15,20,1,159.26,36.26,0.2277,1,eletroportateis,5.0
O00541,C00115,AC,cruzeiro do sul,delivered,2018-02-15 08:28:52,2018-02-16 02:28:52,2018-03-04 08:28:52,2018-03-01 08:28:52,1,17,14,2,65.92,45.99,0.7916,1,alimentos_bebidas,2.0
O00554,C01599,RO,vilhena,delivered,2017-02-22 12:08:58,2017-02-23 23:08:58,2017-03-13 12:08:58,2017-03-01 12:08:58,1,19,7,1,63.18,30.54,0.4834,1,livros_interesse,1.0
O00566,C00335,MS,campo grande,delivered,2018-06-22 02:26:25,2018-06-22 20:26:25,2018-07-01 02:26:25,2018-07-08 02:26:25,0,9,16,1,312.72,22.82,0.073,1,casa_jardim,3.0
O00571,C00250,RN,mossoro,delivered,2017-05-12 00:43:05,2017-05-12 14:43:05,2017-05-30 00:43:05,2017-06-05 00:43:05,0,18,24,3,863.14,58.25,0.0822,1,brinquedos,5.0
O00573,C00737,RN,mossoro,delivered,2018-09-13 12:20:49,2018-09-14 05:20:49,2018-09-30 12:20:49,2018-09-18 12:20:49,1,17,5,1,375.67,15.85,0.0422,1,cool_stuff,4.0
O00582,C01977,PE,olinda,delivered,2017-04-24 03:52:26,2017-04-26 03:52:26,2017-05-18 03:52:26,2017-05-04 03:52:26,1,24,10,1,281.69,17.43,0.0619,1,papelaria,3.0
O00621,C00985,TO,gurupi,delivered,2017-05-07 22:39:47,2017-05-08 14:39:47,2017-05-15 22:39:47,2017-06-01 22:39:47,0,8,25,3,744.69,93.37,0.1499,1,cds_dvds_musicais,4.0
O00630,C00345,RS,caxias do sul,delivered,2018-09-28 00:00:50,2018-09-28 19:00:50,2018-10-04 00:00:50,2018-10-05 00:00:50,0,6,7,3,929.18,61.38,0.1331,1,casa_garagem,5.0
O00632,C01714,DF,brasilia,delivered,2018-07-04 19:55:22,2018-07-05 22:55:22,2018-07-10 19:55:22,2018-07-17 19:55:22,0,6,13,1,55.27,11.65,0.2108,1,construcao_ferramentas,5.0
O00633,C01726,RJ,niteroi,delivered,2017-11-03 13:00:58,2017-11-04 06:00:58,2017-11-16 13:00:58,2017-11-21 13:00:58,0,13,18,2,721.55,31.89,0.0449,1,casa_limpeza,5.0
O00634,C01366,SE,aracaju,delivered,2017-09-26 07:14:38,2017-09-27 06:14:38,2017-10-02 07:14:38,2017-10-16 07:14:38,0,6,20,1,156.05,22.4,0.1435,1,moveis_sala,5.0
O00639,C00739,AC,tarauaca,delivered,2018-06-18 06:56:13,2018-06-19 08:56:13,2018-06-22 06:56:13,2018-07-04 06:56:13,0,4,16,2,616.12,64.69,0.1118,1,casa_garagem,5.0
O00640,C01326,AL,maceio,delivered,2018-07-16 21:31:34,2018-07-18 03:31:34,2018-08-04 21:31:34,2018-07-22 21:31:34,1,19,6,2,553.27,24.41,0.0486,1,casa_garagem,4.0
O00641,C01926,RJ,campos,delivered,2018-05-13 08:20:33,2018-05-15 01:20:33,2018-05-29 08:20:33,2018-05-18 08:20:33,1,16,5,3,682.46,122.96,0.4888,1,casa_cozinha,2.0
O00648,C01730,AP,oida,delivered,2018-10-17 11:15:06,2018-10-17 17:15:06,2018-11-08 11:15:06,2018-11-08 11:15:06,0,22,22,1,322.2,24.9,0.0773,1,pc_gamer,5.0
O00657,C01746,MS,corumba,delivered,2017-10-15 03:08:49,2017-10-15 13:08:49,2017-11-04 03:08:49,2017-10-31 03:08:49,1,20,16,1,421.86,24.52,0.0581,1,casa_quarto,1.0
O00675,C01777,CE,sobral,delivered,2017-04-18 17:22:14,2017-04-18 22:22:14,2017-04-23 17:22:14,2017-05-01 17:22:14,0,5,13,1,62.54,8.23,0.1316,1,automotivo,5.0
O00679,C01938,SE,itabaiana,delivered,2018-05-26 11:21:14,2018-05-26 21:21:14,2018-06-19 11:21:14,2018-06-18 11:21:14,1,24,23,1,153.95,17.52,0.1138,1,portateis_cozinha,3.0
O00691,C00346,ES,cariacica,delivered,2016-09-03 16:27:28,2016-09-05 02:27:28,2016-09-16 16:27:28,2016-09-20 16:27:28,0,13,17,3,173.83,103.94,1.4588,1,fashion_roupa_feminina,5.0
O00692,C00628,SE,lagarto,delivered,2016-10-13 22:59:57,2016-10-15 11:59:57,2016-11-12 22:59:57,2016-10-20 22:59:57,1,30,7,5,932.66,179.45,0.2373,1,casa_garagem,2.0
O00705,C00278,ES,linhares,delivered,2018-07-28 19:05:33,2018-07-29 08:05:33,2018-08-20 19:05:33,2018-08-15 19:05:33,1,23,18,1,58.96,36.31,0.6158,1,relogios_presentes,4.0
O00714,C00937,AL,arapiraca,delivered,2017-06-16 11:35:55,2017-06-17 02:35:55,2017-06-21 11:35:55,2017-06-27 11:35:55,0,5,11,2,222.13,78.07,0.3879,1,casa_iluminacao,5.0
O00715,C01015,MS,dourados,delivered,2017-07-19 03:42:42,2017-07-20 16:42:42,2017-07-22 03:42:42,2017-07-25 03:42:42,0,3,6,1,449.1,21.87,0.0487,1,casa_banheiro,5.0
O00744,C00079,PR,londrina,delivered,2017-04-11 21:33:48,2017-04-12 04:33:48,2017-04-14 21:33:48,2017-04-28 21:33:48,0,3,17,3,623.65,109.41,0.4988,1,casa_garagem,2.0
O00752,C00885,TO,gurupi,delivered,2017-12-10 19:30:14,2017-12-11 05:30:14,2017-12-26 19:30:14,2018-01-01 19:30:14,0,16,22,3,1022.18,120.36,0.1255,1,carnes,4.0
O00779,C01816,BA,itabuna,delivered,2018-03-29 17:24:46,2018-03-29 22:24:46,2018-04-20 17:24:46,2018-04-12 17:24:46,1,22,14,3,775.34,59.64,0.1339,1,artes,2.0
O00787,C01351,CE,caucaia,delivered,2017-01-03 15:43:12,2017-01-04 13:43:12,2017-01-10 15:43:12,2017-01-27 15:43:12,0,7,24,1,75.63,10.77,0.1424,0,sinalizacao_seguranca,5.0
O00789,C00796,ES,cariacica,delivered,2016-10-26 21:32:57,2016-10-28 18:32:57,2016-11-20 21:32:57,2016-11-12 21:32:57,1,25,17,1,101.48,9.49,0.0935,1,portateis_cozinha,2.0
O00803,C01451,GO,rio verde,delivered,2018-10-10 10:08:11,2018-10-12 01:08:11,2018-10-28 10:08:11,2018-10-24 10:08:11,1,18,14,2,686.51,74.76,0.1109,1,dvds_blu_ray,3.0
O00805,C00361,RR,alto alegre,delivered,2017-07-05 03:33:16,2017-07-05 20:33:16,2017-07-25 03:33:16,2017-07-28 03:33:16,0,20,23,2,469.8,42.33,0.096,1,casa_garagem,5.0
O00814,C01382,SE,lagarto,delivered,2017-01-16 01:30:56,2017-01-16 22:30:56,2017-01-30 01:30:56,2017-02-09 01:30:56,0,14,24,2,569.7,53.92,0.0919,1,cool_stuff,5.0
O00834,C00505,MG,montes claros,delivered,2017-07-23 09:05:06,2017-07-24 06:05:06,2017-08-22 09:05:06,2017-08-07 09:05:06,1,30,15,2,534.29,37.24,0.0662,1,casa_lavanderia,2.0
O00842,C00971,PA,belem,delivered,2017-09-19 01:22:41,2017-09-19 16:22:41,2017-10-02 01:22:41,2017-10-05 01:22:41,0,13,16,1,267.89,12.78,0.0477,1,fashion_roupa_feminina,5.0
O00845,C00386,RO,vilhena,delivered,2017-03-06 23:26:10,2017-03-07 18:26:10,2017-04-01 23:26:10,2017-03-17 23:26:10,1,26,11,3,784.25,105.47,0.1976,1,dvds_blu_ray,4.0
O00856,C01319,SE,aracaju,delivered,2017-11-14 11:36:32,2017-11-15 08:36:32,2017-12-05 11:36:32,2017-11-20 11:36:32,1,21,6,4,1167.81,96.55,0.0925,1,cool_stuff,1.0
O00859,C01926,RJ,campos,delivered,2017-09-01 01:56:31,2017-09-01 07:56:31,2017-09-15 01:56:31,2017-09-16 01:56:31,0,14,15,1,166.55,33.5,0.2011,1,fashion_calcados,4.0
O00871,C00814,RN,caico,delivered,2017-07-28 12:57:04,2017-07-28 22:57:04,2017-08-20 12:57:04,2017-08-21 12:57:04,0,23,24,1,417.98,26.11,0.0625,1,moveis_decoracao,4.0
O00892,C00560,MS,corumba,delivered,2017-10-25 12:49:17,2017-10-25 14:49:17,2017-11-12 12:49:17,2017-11-01 12:49:17,1,18,7,2,394.61,33.81,0.0996,1,la_cuisine,3.0
O00914,C01124,SC,joinville,delivered,2018-05-07 13:11:43,2018-05-08 23:11:43,2018-05-22 13:11:43,2018-05-19 13:11:43,1,15,12,1,18.16,17.4,0.9581,1,audio,2.0
O00923,C00022,SC,criciuma,delivered,2017-12-11 08:50:39,2017-12-12 06:50:39,2017-12-20 08:50:39,2017-12-25 08:50:39,0,9,14,1,18.91,36.57,1.9339,1,la_cuisine,5.0
O00924,C00878,MS,três lagoas,delivered,2018-09-14 05:31:00,2018-09-15 22:31:00,2018-09-18 05:31:00,2018-10-04 05:31:00,0,4,20,3,845.94,77.86,0.1149,1,beleza_saude,2.0
O00932,C00444,MS,corumba,delivered,2018-05-31 20:32:31,2018-06-01 03:32:31,2018-06-07 20:32:31,2018-06-23 20:32:31,0,7,23,1,397.97,33.75,0.0848,1,moda_roupa,5.0
O00961,C00982,PB,campina grande,delivered,2018-05-25 12:36:18,2018-05-27 06:36:18,2018-06-17 12:36:18,2018-06-04 12:36:18,1,23,10,2,713.08,56.79,0.0935,1,casa_quarto,4.0
O00964,C01583,SE,nossa senhora do socorro,delivered,2016-11-02 01:23:23,2016-11-03 01:23:23,2016-11-13 01:23:23,2016-11-21 01:23:23,0,11,19,2,405.18,78.04,0.2105,1,casa_iluminacao,4.0
O00972,C01385,SE,aracaju,delivered,2018-06-02 07:17:42,2018-06-03 01:17:42,2018-06-18 07:17:42,2018-06-13 07:17:42,1,16,11,1,20.53,21.99,1.0711,1,casa_lavanderia,4.0
O00975,C00356,MG,uberlandia,delivered,2017-03-02 01:56:02,2017-03-04 00:56:02,2017-03-14 01:56:02,2017-03-27 01:56:02,0,12,25,1,406.77,18.99,0.0467,1,casa_limpeza,5.0
O00977,C00375,MG,belo horizonte,delivered,2018-10-12 23:51:03,2018-10-13 23:51:03,2018-10-30 23:51:03,2018-10-25 23:51:03,1,18,13,1,71.43,7.72,0.1081,1,eletrodomesticos_2,2.0
O00978,C01910,PA,maraba,delivered,2018-08-15 03:42:50,2018-08-16 14:42:50,2018-08-26 03:42:50,2018-09-08 03:42:50,0,11,24,1,434.56,43.0,0.099,1,construcao_ferramentas,5.0
O00986,C00085,RO,ji-parana,delivered,2016-12-19 04:13:39,2016-12-19 22:13:39,2017-01-08 04:13:39,2017-01-01 04:13:39,1,20,13,1,67.43,19.86,0.2945,1,moveis_quarto,3.0
O00987,C00261,AM,itacoatiara,delivered,2017-01-27 23:03:41,2017-01-29 23:03:41,2017-02-05 23:03:41,2017-02-02 23:03:41,1,9,6,1,94.73,30.87,0.3259,1,casa_iluminacao,3.0
O00999,C01806,TO,paraíso do tocantins,delivered,2018-10-04 13:11:14,2018-10-05 17:11:14,2018-10-23 13:11:14,2018-10-19 13:11:14,1,19,15,4,761.65,141.88,0.258,1,bebes,3.0
O01016,C00591,PA,castanhal,delivered,2018-09-01 12:07:46,2018-09-02 16:07:46,2018-09-11 12:07:46,2018-09-06 12:07:46,1,10,5,1,302.58,18.96,0.0627,1,casa_cozinha,3.0
O01018,C00552,RS,caxias do sul,delivered,2017-06-05 15:33:34,2017-06-07 02:33:34,2017-06-22 15:33:34,2017-06-27 15:33:34,0,17,22,3,535.96,93.09,0.2567,1,carnes,5.0
O01027,C01388,PI,teresina,delivered,2018-05-07 15:17:53,2018-05-09 03:17:53,2018-05-22 15:17:53,2018-05-28 15:17:53,0,15,21,1,294.44,19.15,0.065,1,utilidades_domesticas,4.0
O01030,C01031,RN,sao goncalo do amarante,delivered,2018-10-17 07:09:42,2018-10-17 16:09:42,2018-10-26 07:09:42,2018-10-24 07:09:42,1,9,7,2,644.55,57.14,0.0889,1,casa_quarto,3.0
O01034,C00922,AC,cruzeiro do sul,delivered,2017-04-06 05:48:13,2017-04-07 23:48:13,2017-04-21 05:48:13,2017-04-18 05:48:13,1,15,12,1,320.66,48.51,0.1513,1,cool_stuff,2.0
O01076,C01829,SE,itabaiana,delivered,2017-12-26 04:57:55,2017-12-27 02:57:55,2018-01-16 04:57:55,2018-01-02 04:57:55,1,21,7,1,23.44,29.99,1.2794,1,artigos_nautica,3.0
O01078,C00221,ES,serra,delivered,2017-10-21 06:47:44,2017-10-22 20:47:44,2017-11-19 06:47:44,2017-11-11 06:47:44,1,29,21,2,531.61,74.93,0.1533,1,casa_limpeza,1.0
O01097,C01961,RR,alto alegre,delivered,2017-11-06 15:27:27,2017-11-07 04:27:27,2017-11-22 15:27:27,2017-11-12 15:27:27,1,16,6,1,19.36,8.25,0.4261,1,perfumaria,2.0
O01108,C01369,MA,imperatriz,delivered,2017-09-30 19:05:50,2017-10-01 21:05:50,2017-10-19 19:05:50,2017-10-12 19:05:50,1,19,12,1,390.18,16.55,0.0424,0,automotivo,2.0
O01109,C00084,SC,florianopolis,delivered,2017-08-11 13:20:17,2017-08-12 18:20:17,2017-08-14 13:20:17,2017-08-29 13:20:17,0,3,18,2,685.97,83.02,0.1313,1,fashion_esporte,4.0
O01114,C01487,TO,palmas,delivered,2018-01-24 10:37:32,2018-01-24 22:37:32,2018-02-02 10:37:32,2018-01-29 10:37:32,1,9,5,1,133.13,18.87,0.1417,1,artes,2.0
O01125,C01866,RO,ji-parana,delivered,2017-01-13 06:07:39,2017-01-13 11:07:39,2017-01-26 06:07:39,2017-01-23 06:07:39,1,13,10,2,388.48,74.8,0.2907,1,casa_sala,2.0
O01134,C00175,MA,imperatriz,delivered,2017-03-28 06:51:01,2017-03-28 13:51:01,2017-04-17 06:51:01,2017-04-05 06:51:01,1,20,8,1,113.16,42.26,0.3735,1,moveis_decoracao,2.0
O01144,C01235,SC,criciuma,delivered,2017-02-03 12:50:30,2017-02-04 12:50:30,2017-02-14 12:50:30,2017-02-18 12:50:30,0,11,15,1,403.38,20.44,0.0507,1,moveis_quarto,5.0
O01147,C01546,BA,ilheus,delivered,2017-01-02 18:03:25,2017-01-04 16:03:25,2017-01-23 18:03:25,2017-01-24 18:03:25,0,21,22,1,338.25,5.95,0.0176,1,casa_banheiro,3.0
O01153,C00168,MT,sinop,delivered,2018-02-01 22:45:54,2018-02-02 09:45:54,2018-02-22 22:45:54,2018-02-09 22:45:54,1,21,8,1,23.47,13.49,0.5748,1,carnes,2.0
O01156,C01182,RS,canoas,delivered,2017-06-19 08:22:08,2017-06-20 16:22:08,2017-06-23 08:22:08,2017-07-07 08:22:08,0,4,18,1,415.28,30.09,0.0725,1,malas_acessorios,5.0
O01161,C00831,CE,maracanau,delivered,2017-06-24 23:08:43,2017-06-26 23:08:43,2017-07-01 23:08:43,2017-07-17 23:08:43,0,7,23,2,562.92,60.42,0.1393,1,casa_sala,2.0
O01183,C01753,SC,joinville,delivered,2017-06-12 04:46:03,2017-06-13 21:46:03,2017-07-01 04:46:03,2017-06-17 04:46:03,1,19,5,1,401.43,36.63,0.0912,1,moveis_jardim,5.0
O01185,C00860,MT,tangara da serra,delivered,2018-02-13 04:26:48,2018-02-13 05:26:48,2018-02-21 04:26:48,2018-02-21 04:26:48,0,8,8,1,135.77,27.61,0.2034,1,la_cuisine,4.0
O01187,C01201,RS,pelotas,delivered,2017-07-07 20:39:28,2017-07-09 13:39:28,2017-08-05 20:39:28,2017-07-31 20:39:28,1,29,24,3,476.84,66.5,0.1983,1,casa_limpeza,4.0
O01201,C01895,ES,cariacica,delivered,2017-11-06 08:17:11,2017-11-06 09:17:11,2017-11-20 08:17:11,2017-11-22 08:17:11,0,14,16,1,221.89,8.61,0.0388,1,sinalizacao_seguranca,5.0
O01205,C00405,PE,olinda,delivered,2017-03-26 00:44:11,2017-03-26 19:44:11,2017-04-19 00:44:11,2017-04-14 00:44:11,1,24,19,2,201.14,17.61,0.1144,1,fashion_roupa_feminina,3.0
O01206,C00463,TO,palmas,delivered,2017-03-28 23:05:03,2017-03-29 02:05:03,2017-04-23 23:05:03,2017-04-08 23:05:03,1,26,11,4,1247.02,98.29,0.1907,1,alimentos_bebidas,4.0
O01207,C00751,CE,fortaleza,delivered,2017-12-10 09:39:37,2017-12-12 05:39:37,2018-01-04 09:39:37,2017-12-17 09:39:37,1,25,7,1,406.12,41.37,0.1019,1,moveis_presentes,1.0
