order_id,target_late,n_items,total_price,total_freight,freight_to_price_ratio,payment_installments,payment_type,promised_days,purchase_weekday,purchase_month,cross_state,product_category,seller_hist_late_rate
O03811,1,1,79.13,27.19,0.3436,3,voucher,7,0,9,0,moveis_quarto,0.40476190476190477
O01466,1,1,188.59,36.32,0.1926,1,debit_card,7,0,9,0,papelaria,0.4186046511627907
O01518,0,1,212.44,24.11,0.1135,6,debit_card,8,0,9,0,portateis_casa_forno_cafe,0.4318181818181818
O02723,0,1,318.35,27.81,0.0874,3,debit_card,9,0,9,0,casa_construcao,0.4222222222222222
O01165,1,3,620.39,111.49,0.1891,4,credit_card,5,0,9,0,carnes,0.41304347826086957
O01767,0,2,744.54,15.59,0.0207,2,boleto,11,0,9,0,audio,0.4489795918367347
O01281,0,1,182.41,43.88,0.2406,5,debit_card,16,0,9,0,perfumaria,0.43137254901960786
O04903,0,2,714.52,63.89,0.089,3,boleto,25,0,9,0,casa_iluminacao,0.4230769230769231
O04370,1,2,606.89,52.87,0.0868,1,boleto,18,1,9,0,eletrodomesticos_2,0.4074074074074074
O02148,0,2,370.2,84.77,0.8013,1,boleto,10,1,9,0,casa_quarto,0.42857142857142855
O03285,1,1,195.29,23.39,0.1198,4,voucher,6,1,9,0,papelaria,0.41379310344827586
O04193,0,1,499.49,17.26,0.0346,7,credit_card,8,1,9,0,livros_interesse,0.423728813559322
O02234,0,1,243.62,17.66,0.0725,1,boleto,22,1,9,0,moveis_sala,0.4166666666666667
O03904,1,1,462.5,12.32,0.0266,7,boleto,16,1,9,0,casa_conforto,0.4098360655737705
O02823,1,2,311.64,58.58,0.1999,1,credit_card,9,1,9,0,casa_iluminacao,0.41935483870967744
O02784,1,1,187.52,10.09,0.0538,4,boleto,14,1,9,0,fashion_calcados,0.4375
O02109,1,1,428.48,36.09,0.0842,2,credit_card,14,1,9,0,fashion_roupa_masculina,0.4461538461538462
O03655,1,1,102.55,21.64,0.211,2,credit_card,9,2,9,0,moveis_presentes,0.45454545454545453
O04077,0,1,398.04,22.51,0.0566,5,debit_card,18,2,9,0,carnes,0.4626865671641791
O03188,0,2,620.31,46.33,0.1278,5,boleto,14,2,9,0,cama_mesa_banho,0.45588235294117646
O02504,1,1,65.25,33.63,0.5154,2,credit_card,22,3,9,0,fashion_calcados,0.44285714285714284
O04565,1,1,333.21,37.7,0.1131,1,boleto,8,3,9,0,moveis_escritorio,0.4507042253521127
O04340,1,1,489.44,33.88,0.0692,3,boleto,7,3,9,0,portateis_casa_forno_cafe,0.4583333333333333
O04509,1,3,702.93,37.39,0.1218,1,credit_card,13,3,9,0,bebes,0.46575342465753417
O00064,1,1,402.32,11.19,0.0278,1,voucher,6,3,9,0,portateis_cozinha,0.4868421052631579
O01248,0,2,622.12,45.57,0.085,5,credit_card,25,3,9,0,casa_banheiro,0.4935064935064935
O02685,1,1,383.34,11.01,0.0287,2,debit_card,15,3,9,0,construcao_ferramentas,0.4810126582278481
O01703,0,2,220.85,76.32,0.433,8,voucher,7,5,9,0,alimentos_bebidas,0.4875
O02629,1,1,172.98,27.1,0.1567,3,boleto,14,5,9,0,casa_conforto_2,0.47560975609756095
O00134,1,1,44.6,12.26,0.2749,12,boleto,21,5,9,0,casa_escritorio,0.4819277108433735
O04194,0,4,1642.27,123.27,0.0775,3,credit_card,24,5,9,0,cool_stuff,0.4880952380952381
O01633,0,3,1029.86,93.74,0.0954,2,debit_card,23,5,9,0,eletrodomesticos,0.4659090909090909
O01430,1,1,394.61,39.72,0.1007,1,credit_card,14,5,9,0,perfumaria,0.45054945054945056
O02276,0,1,160.02,5.75,0.0359,2,boleto,18,5,9,0,fashion_roupa_feminina,0.45652173913043476
O01199,0,3,699.84,70.25,0.1001,4,debit_card,18,5,9,0,fashion_roupa_feminina,0.45161290322580644
O00680,1,1,226.82,14.86,0.0655,2,debit_card,16,6,9,0,brinquedos,0.4375
O02344,1,3,764.6,90.73,0.2518,3,voucher,25,6,9,0,eletrodomesticos_2,0.44329896907216493
O02764,0,1,431.48,23.79,0.0551,3,voucher,10,6,9,0,construcao_ferramentas,0.46
O00810,1,1,181.29,34.67,0.1912,7,boleto,13,6,9,0,casa_conforto,0.45544554455445546
O04120,1,1,433.55,25.38,0.0585,2,debit_card,8,0,9,0,flores,0.46078431372549017
O04833,0,2,763.36,72.01,0.0989,4,boleto,14,0,9,0,moveis_decoracao,0.46601941747572817
O02214,0,1,370.66,19.52,0.0527,1,debit_card,18,0,9,0,flores,0.45714285714285713
O01511,1,1,431.94,30.33,0.0702,4,voucher,14,0,9,0,carnes,0.4528301886792453
O03091,1,2,393.98,31.17,0.0807,5,debit_card,16,0,9,0,eletrodomesticos_2,0.45794392523364486
O04540,1,1,257.07,28.88,0.1123,5,credit_card,7,1,9,0,moveis_jardim,0.46788990825688076
O03686,0,1,178.0,19.57,0.1099,1,credit_card,21,1,9,0,flores,0.4727272727272727
O02456,1,1,172.35,26.0,0.1509,1,credit_card,10,1,9,0,artes,0.46846846846846846
O01860,1,1,101.18,12.23,0.1209,1,credit_card,24,1,9,0,moveis_decoracao,1.0
O00282,1,1,426.44,11.29,0.0265,1,debit_card,12,1,9,0,beleza_saude,0.4778761061946903
O03241,1,1,54.87,49.61,0.9041,9,credit_card,12,1,9,0,moveis_decoracao,0.4824561403508772
O03512,1,2,93.76,38.21,0.3858,5,boleto,8,1,9,0,fashion_roupa_feminina,0.48695652173913045
O02964,0,1,388.23,20.58,0.053,1,boleto,14,1,9,0,brinquedos,0.49572649572649574
O03354,1,3,579.86,116.45,0.2877,8,credit_card,10,1,9,0,casa_escritorio,0.4915254237288136
O03535,1,1,438.37,10.69,0.0244,3,boleto,24,1,9,0,fashion_calcados,0.5041322314049587
O04354,0,1,298.8,32.09,0.1074,5,boleto,18,1,9,0,moveis_decoracao,0.5081967213114754
O02728,1,2,408.11,32.12,0.1752,5,debit_card,21,1,9,0,carnes,0.5040650406504065
O03413,1,1,240.01,24.81,0.1034,5,debit_card,11,2,9,0,portateis_casa_forno_cafe,0.512
O04231,0,3,639.07,127.3,0.3102,6,credit_card,20,2,9,0,casa_utilidades,0.5158730158730159
O00767,0,1,439.98,13.55,0.0308,4,credit_card,15,2,9,0,perfumaria,0.5038759689922481
O01020,1,4,953.56,71.37,0.1765,1,boleto,13,2,9,0,casa_quarto,0.5
O02444,1,1,69.73,48.49,0.6954,2,voucher,15,2,9,0,casa_lavanderia,0.5149253731343284
O03429,0,5,1190.14,117.94,0.1665,9,credit_card,13,2,9,0,bebes,0.5185185185185185
O03263,0,1,73.53,23.14,0.3147,3,debit_card,17,2,9,0,artes,0.5
O02105,0,1,342.17,35.46,0.1036,1,voucher,23,3,9,0,casa_utilidades,0.49645390070921985
O01098,0,1,477.18,21.17,0.0444,3,credit_card,24,3,9,0,construcao_ferramentas,0.49295774647887325
O00333,0,1,205.01,27.51,0.1342,3,credit_card,13,3,9,0,eletronicos,0.48951048951048953
O00579,0,1,308.11,26.01,0.0844,2,debit_card,20,3,9,0,telefonia,0.4861111111111111
O03470,0,4,573.68,97.28,0.3513,1,debit_card,25,3,9,0,casa_cozinha,0.4827586206896552
O03942,1,2,788.26,52.64,0.0673,1,boleto,16,3,9,0,papelaria,0.4697986577181208
O01765,0,1,470.67,21.18,0.045,3,credit_card,24,4,9,0,instrumentos_musicais,0.4768211920529801
O03885,0,3,620.99,108.98,0.3218,5,boleto,14,4,9,0,casa_quarto,0.47368421052631576
O04891,0,2,252.78,74.92,0.4426,5,debit_card,22,4,9,0,casa_cozinha,0.4645161290322581
O02266,1,3,922.8,112.48,0.1765,1,voucher,15,4,9,0,malas_acessorios,0.45859872611464975
O00722,1,2,433.97,51.91,0.2358,1,boleto,13,4,9,0,construcao_ferramentas,0.46875
O02434,1,2,235.63,51.35,0.6027,2,credit_card,11,4,9,0,carnes,0.47530864197530864
O04643,0,1,91.43,22.84,0.2498,3,credit_card,17,5,9,0,moveis_decoracao,0.4817073170731707
O03809,0,1,122.62,12.33,0.1006,3,credit_card,18,5,9,0,telefonia,0.47878787878787876
O04421,0,2,432.98,54.64,0.161,1,credit_card,12,5,9,0,cool_stuff,0.4759036144578313
O04309,1,1,57.17,46.93,0.8209,1,voucher,25,5,9,0,moveis_decoracao,0.47023809523809523
O02004,0,1,98.79,7.21,0.073,1,credit_card,20,5,9,0,alimentos_bebidas,0.47337278106508873
O02462,0,1,311.65,33.69,0.1081,12,boleto,11,5,9,0,eletroportateis,0.47058823529411764
O00847,0,1,181.87,45.75,0.2516,2,debit_card,14,5,9,0,construcao_ferramentas,0.4678362573099415
O03307,0,2,243.96,57.51,0.2078,8,credit_card,19,6,9,0,consoles_games,0.46511627906976744
O02197,0,2,635.11,69.85,0.1164,6,voucher,23,6,9,0,bebes,0.45977011494252873
O02664,0,1,280.3,19.26,0.0687,2,debit_card,25,6,9,0,sinalizacao_seguranca,0.45454545454545453
O03951,1,1,244.31,27.16,0.1112,9,boleto,9,6,9,0,consoles_games,0.4519774011299435
O04162,1,1,147.81,14.65,0.0991,4,voucher,9,0,9,0,moveis_jardim,0.4550561797752809
O04329,1,1,171.46,5.8,0.0338,12,voucher,16,0,9,0,moveis_quarto,0.4581005586592179
O00497,0,2,214.98,51.77,0.2383,4,debit_card,21,0,9,0,artigos_nautica,0.46111111111111114
O02564,0,1,168.38,23.82,0.1415,2,boleto,21,0,9,0,relogios_presentes,0.45604395604395603
O01052,1,2,774.18,32.03,0.0429,1,debit_card,11,0,9,0,eletrodomesticos_2,0.453551912568306
O00504,1,1,305.27,8.81,0.0289,3,boleto,21,0,9,0,utilidades_domesticas,0.4594594594594595
O02268,0,1,316.52,28.91,0.0913,2,debit_card,24,1,9,0,casa_limpeza,0.46236559139784944
O00223,1,1,77.6,5.06,0.0652,3,credit_card,15,1,9,0,fashion_roupa_feminina,0.45989304812834225
O04791,0,2,673.74,81.89,0.1593,2,boleto,17,1,9,0,brinquedos,0.4627659574468085
O01652,1,1,339.09,19.19,0.0566,9,credit_card,7,1,9,0,casa_escritorio,0.45789473684210524
O04609,1,2,110.06,75.71,0.8339,1,voucher,8,1,9,0,moveis_cozinha,0.4607329842931937
O04821,1,2,599.81,64.42,0.1064,1,voucher,21,1,9,0,moveis_escritorio,0.46632124352331605
O03665,1,1,179.74,33.27,0.1851,2,debit_card,14,1,9,0,livros_interesse,0.4717948717948718
O00363,1,2,577.51,77.88,0.2469,1,debit_card,13,2,9,0,cama_mesa_banho,0.4744897959183674
O01817,1,1,392.78,43.39,0.1105,2,voucher,6,2,9,0,flores,0.4797979797979798
O01774,1,1,422.42,30.93,0.0732,4,boleto,18,2,9,0,cama_mesa_banho,0.4824120603015075
O00073,1,1,205.87,39.16,0.1902,1,voucher,17,2,9,0,moveis_cozinha,0.485
O04031,1,1,482.82,49.86,0.1033,3,debit_card,14,2,9,0,utilidades_domesticas,0.48756218905472637
O02377,1,1,268.61,46.04,0.1714,2,boleto,8,2,9,0,eletroportateis,0.4900990099009901
O00895,1,2,357.15,38.72,0.1759,4,debit_card,7,2,9,0,consoles_games,0.49261083743842365
O03259,1,1,184.0,34.92,0.1898,2,voucher,14,2,9,0,fashion_roupa_masculina,0.4975609756097561
O04711,1,1,324.12,31.06,0.0958,1,boleto,18,2,9,0,moveis_decoracao,0.5
O01493,1,1,212.29,9.18,0.0432,5,boleto,14,2,9,0,utilidades_domesticas,0.5024154589371981
O03594,0,5,1216.25,159.13,0.2076,2,voucher,23,2,9,0,alimentos_bebidas,0.5048076923076923
O01636,1,1,55.9,17.05,0.305,1,boleto,18,3,9,0,casa_escritorio,0.49295774647887325
O00330,0,1,216.5,35.3,0.163,1,boleto,10,3,9,0,casa_limpeza,0.4953271028037383
O04485,0,1,446.18,49.54,0.111,1,debit_card,17,3,9,0,casa_garagem,0.4930232558139535
O01174,1,2,384.54,92.33,0.5119,4,boleto,7,3,9,0,casa_utilidades,0.41203703703703703
O01831,0,1,191.61,29.97,0.1564,4,voucher,22,3,9,0,construcao_ferramentas,0.4954128440366973
O02849,0,5,1369.6,182.28,0.5337,1,voucher,25,3,9,0,audio,0.4931506849315069
O00372,1,1,127.83,9.47,0.0741,1,voucher,6,4,9,0,casa_conforto_2,0.48214285714285715
O04264,0,3,626.39,91.39,0.1827,1,credit_card,17,4,9,0,instrumentos_musicais,0.48444444444444446
O01551,1,1,53.3,22.89,0.4295,1,debit_card,10,4,9,0,papelaria,0.4780701754385965
O00312,1,1,325.17,19.12,0.0588,8,voucher,9,4,9,0,casa_garagem,0.48034934497816595
O00220,1,1,456.22,15.32,0.0336,3,boleto,7,5,9,0,casa_conforto,0.4826086956521739
O03678,0,1,20.32,28.17,1.3863,9,debit_card,15,5,9,0,relogios_presentes,0.48484848484848486
O04534,1,1,223.37,44.56,0.1995,1,credit_card,20,6,9,0,cama_mesa_banho,0.4827586206896552
O01408,1,3,1125.12,70.97,0.0696,12,credit_card,14,6,9,0,beleza_saude,0.48497854077253216
O03398,1,1,99.96,46.08,0.461,2,voucher,8,6,9,0,portateis_cozinha,0.4915254237288136
O03959,1,1,79.91,29.34,0.3672,4,voucher,6,6,9,0,fashion_underwear,0.4936708860759494
O02567,0,1,324.19,28.34,0.0874,9,voucher,20,6,9,0,eletroportateis,0.4957983193277311
O01033,1,1,121.44,5.62,0.0463,3,debit_card,9,6,9,0,utilidades_domesticas,0.49372384937238495
O02585,1,2,614.71,34.83,0.078,5,credit_card,21,0,9,0,casa_quarto,0.49583333333333335
O01378,0,1,338.07,27.05,0.08,4,debit_card,15,0,9,0,cool_stuff,0.5
O00551,0,1,226.44,23.61,0.1043,3,voucher,21,0,9,0,beleza_saude,0.49794238683127573
O02810,0,1,450.08,15.61,0.0347,2,boleto,19,0,9,0,sinalizacao_seguranca,0.3333333333333333
O02010,0,2,472.39,57.83,0.9693,1,credit_card,10,0,9,0,casa_construcao,0.49387755102040815
O03543,0,2,568.44,59.05,0.1306,5,debit_card,25,0,9,0,alimentos_bebidas,0.4898785425101215
O01191,1,1,371.63,22.16,0.0596,4,credit_card,9,0,9,0,construcao_ferramentas,0.4859437751004016
O02099,0,1,21.02,11.97,0.5695,3,boleto,17,0,9,0,moveis_colchao_estofado,0.488
O03553,0,1,256.7,29.46,0.1148,7,debit_card,18,0,9,0,fashion_bolsas,0.4860557768924303
O03325,0,2,799.08,64.78,0.0915,6,debit_card,8,0,9,0,alimentos_bebidas,0.48412698412698413
O01154,1,1,496.46,32.12,0.0647,1,boleto,9,1,9,0,casa_construcao,0.48031496062992124
O02884,0,2,430.36,45.08,0.1208,1,credit_card,9,1,9,0,casa_quarto,0.2411764705882353
O04429,0,3,472.77,96.63,0.4768,1,credit_card,11,1,9,0,fashion_esporte,0.4785992217898833
O02837,1,1,205.18,41.86,0.204,3,boleto,15,1,9,0,eletroportateis,0.47307692307692306
O02281,1,1,292.4,33.76,0.1155,3,voucher,19,1,9,0,instrumentos_musicais,0.47509578544061304
O01501,1,1,90.18,31.33,0.3474,3,credit_card,8,1,9,0,cool_stuff,0.4770992366412214
O01967,1,2,709.76,22.8,0.0326,1,boleto,22,1,9,0,casa_garagem,0.4790874524714829
O02330,0,1,183.52,8.46,0.0461,1,voucher,24,2,9,0,moveis_presentes,0.0
O00992,1,4,1105.95,118.04,0.6324,1,credit_card,24,2,9,0,casa_limpeza,0.48120300751879697
O03277,0,1,178.05,34.26,0.1924,3,boleto,22,2,9,0,eletronicos,0.4888888888888889
O01320,0,1,210.94,33.25,0.1576,12,voucher,18,2,9,0,automotivo,0.4870848708487085
O03756,1,1,330.76,23.06,0.0697,6,boleto,16,2,9,0,brinquedos,0.4852941176470588
O00055,1,3,901.8,63.99,0.0861,2,voucher,5,2,9,0,carnes,0.48717948717948717
O03908,0,1,347.31,25.19,0.0725,8,boleto,23,2,9,0,papelaria,0.4927536231884058
O01305,1,2,776.21,64.8,0.0818,2,voucher,16,3,9,0,artigos_nautica,0.49097472924187724
O01871,1,2,353.51,66.01,0.1867,4,boleto,8,3,9,0,alimentos_bebidas,0.4946236559139785
O02368,1,1,136.12,12.39,0.091,5,voucher,8,3,9,0,moveis_escritorio,0.498220640569395
O03800,0,2,320.63,37.76,0.1188,1,debit_card,11,3,9,0,papelaria,0.5
O02631,0,1,135.27,46.16,0.3412,7,debit_card,12,3,9,0,relogios_presentes,0.4964788732394366
O04206,0,3,673.1,67.69,0.0986,1,debit_card,22,4,9,0,audio,0.49473684210526314
O00211,0,2,476.91,54.12,0.1098,3,boleto,12,4,9,0,casa_garagem,0.4895833333333333
O02979,1,2,553.17,79.23,0.1436,3,boleto,9,4,9,0,casa_iluminacao,0.5764367816091953
O01752,0,1,130.1,23.94,0.184,1,boleto,19,4,9,0,cama_mesa_banho,0.4897260273972603
O03022,1,2,474.17,70.72,0.149,1,debit_card,13,4,9,0,alimentos_bebidas,0.4880546075085324
O00788,1,3,916.04,83.15,0.1051,2,debit_card,17,4,9,0,casa_garagem,0.6610169491525424
O03966,0,3,652.88,100.18,0.2272,1,credit_card,23,4,9,0,audio,0.4966442953020134
O04532,0,1,416.7,21.55,0.0517,1,debit_card,25,4,9,0,fashion_roupa_feminina,0.49169435215946844
O02604,1,1,451.85,24.51,0.0542,3,voucher,23,4,9,0,telefonia,0.4900662251655629
O03768,1,4,1553.97,71.94,0.0468,2,voucher,5,4,9,0,eletroportateis,0.49174917491749176
O03901,0,4,1289.45,125.77,0.2053,5,boleto,10,5,10,0,artigos_nautica,0.498371335504886
O04296,1,2,251.71,65.79,0.3374,6,voucher,13,5,10,0,artes,0.4919614147909968
O01687,0,2,603.55,79.14,0.138,3,debit_card,17,5,10,0,alimentos_bebidas,0.7467948717948718
O01184,1,1,498.38,32.31,0.0648,4,boleto,22,5,10,0,telefonia,0.49044585987261147
O03332,1,3,169.15,91.22,1.2209,7,credit_card,10,5,10,0,cool_stuff,0.49206349206349204
O02075,0,1,487.78,37.53,0.0769,4,boleto,18,5,10,0,cool_stuff,0.4968553459119497
O00379,0,1,348.23,34.53,0.0992,6,voucher,25,6,10,0,moveis_sala,0.4952978056426332
O03819,0,2,552.64,34.85,0.0806,1,credit_card,23,6,10,0,eletroportateis,0.49375
O01000,0,1,242.93,36.1,0.1486,1,debit_card,19,0,10,0,ferramentas_jardim,0.4906832298136646
O01021,0,1,142.9,35.98,0.2518,3,credit_card,17,0,10,0,portateis_cozinha,0.4891640866873065
O02076,1,1,462.86,5.64,0.0122,1,debit_card,5,0,10,0,casa_limpeza,0.4876543209876543
O02701,1,1,260.08,18.94,0.0728,9,boleto,5,0,10,0,casa_outros,0.48923076923076925
O04575,0,2,851.23,60.32,0.0719,5,boleto,20,0,10,0,audio,0.49079754601226994
O03903,1,1,408.59,43.98,0.1076,4,credit_card,25,0,10,0,fashion_underwear,0.4878048780487805
O02539,1,3,260.88,84.44,0.478,4,boleto,6,1,10,0,eletroportateis,0.48936170212765956
O01203,0,1,132.71,27.81,0.2096,1,credit_card,10,1,10,0,papelaria,0.4939759036144578
O04529,0,2,799.95,64.7,0.0782,3,credit_card,24,1,10,0,cool_stuff,0.4924924924924925
O00147,1,1,217.4,43.73,0.2011,2,boleto,12,1,10,0,casa_cozinha,0.48955223880597015
O03533,0,2,220.5,54.07,0.2668,1,debit_card,22,1,10,0,casa_banheiro,0.49107142857142855
O00397,0,1,112.27,43.57,0.3881,1,credit_card,23,1,10,0,consoles_games,0.4881656804733728
O01587,0,1,112.99,37.27,0.3299,5,boleto,14,2,10,0,moveis_decoracao,0.48672566371681414
O01060,0,1,127.3,14.34,0.1126,7,boleto,21,2,10,0,casa_jardim,0.4852941176470588
O03784,1,1,492.97,10.57,0.0214,2,voucher,5,2,10,0,portateis_casa_forno_cafe,0.4838709677419355
O02106,1,4,1207.33,166.63,0.1524,1,debit_card,9,2,10,0,casa_limpeza,0.4853801169590643
O01262,1,1,194.94,27.66,0.1419,3,debit_card,12,2,10,0,cool_stuff,0.4913294797687861
O03076,0,3,892.64,102.62,0.1269,5,credit_card,25,3,10,0,fashion_roupa_feminina,0.49279538904899134
O04410,1,1,270.68,36.16,0.1336,1,voucher,13,3,10,0,casa_garagem,0.48857142857142855
O04644,1,3,487.64,50.22,0.1112,4,debit_card,9,3,10,0,carnes,0.4900284900284901
O01825,1,1,85.34,12.58,0.1474,4,boleto,7,3,10,0,fraldas_higiene,0.4943502824858757
O03328,1,2,636.21,49.31,0.076,1,boleto,16,3,10,0,fashion_roupa_masculina,0.49577464788732395
O01315,0,2,551.73,67.4,0.116,1,debit_card,25,3,10,0,eletronicos,0.49859943977591037
O00549,0,1,171.58,17.78,0.1036,5,voucher,18,3,10,0,eletrodomesticos_2,0.4958217270194986
O04648,0,2,68.35,74.14,1.112,4,credit_card,18,4,10,0,brinquedos,0.49444444444444446
O01260,1,3,668.96,79.12,0.4033,1,voucher,14,4,10,0,artigos_nautica,0.6611418047882136
O02476,0,1,362.84,11.99,0.033,4,debit_card,22,4,10,0,moveis_jardim,0.4958904109589041
O00784,1,1,132.66,38.38,0.2893,1,boleto,6,4,10,0,fashion_underwear,0.49453551912568305
O00483,1,2,237.71,65.83,0.6076,6,credit_card,6,4,10,0,casa_utilidades,0.49591280653950953
O01754,1,4,1402.37,93.8,0.0749,5,voucher,12,4,10,0,artes,0.4989837398373984
O00947,0,2,850.16,35.55,0.0417,3,voucher,11,5,10,0,moveis_jardim,0.4186773905272565
O03192,1,1,38.12,9.71,0.2547,12,debit_card,21,5,10,0,moveis_cozinha,0.5013333333333333
O03393,0,2,743.09,61.51,0.0882,1,voucher,11,5,10,0,fashion_roupa_feminina,0.5026595744680851
O00821,0,2,582.65,63.81,0.1348,1,debit_card,25,6,10,0,alimentos_bebidas,0.5
O04148,1,1,466.89,38.6,0.0827,2,debit_card,7,6,10,0,casa_jardim,0.49736842105263157
O01797,0,1,113.88,13.81,0.1213,7,credit_card,19,6,10,0,casa_garagem,0.49868766404199477
O01044,1,2,463.1,69.93,0.1566,4,voucher,16,6,10,0,fashion_esporte,0.4973821989528796
O04596,1,1,287.34,30.13,0.1049,4,boleto,11,6,10,0,moveis_escritorio,0.5
O03290,0,3,572.97,63.59,0.5745,1,credit_card,9,6,10,0,casa_outros,0.5012987012987012
O03335,1,4,1144.95,109.01,0.1498,2,boleto,7,6,10,0,beleza_saude,0.45640034364261167
O00320,1,1,243.15,15.14,0.0623,1,voucher,16,6,10,0,flores,0.5025510204081632
O01537,0,1,208.25,45.59,0.2189,2,voucher,19,6,10,0,fashion_esporte,0.6666666666666666
O02273,1,3,903.5,101.56,0.1201,1,credit_card,13,6,10,0,casa_escritorio,0.5025380710659898
O03787,1,1,403.94,42.5,0.1052,3,voucher,15,0,10,0,sinalizacao_seguranca,0.5062972292191436
O00019,0,1,317.76,35.78,0.1126,1,debit_card,25,0,10,0,casa_construcao,0.3333333333333333
O00358,1,5,1615.09,162.86,0.1171,1,credit_card,16,0,10,0,casa_escritorio,0.5383458646616541
O01878,1,1,289.97,34.91,0.1204,3,boleto,15,0,10,0,eletrodomesticos_2,0.5123762376237624
O01885,1,1,382.27,49.03,0.1283,1,voucher,10,0,10,0,perfumaria,0.5135802469135803
O00009,1,1,150.88,41.16,0.2728,1,debit_card,21,1,10,0,market_place,0.5147783251231527
O04266,0,2,543.91,70.89,0.1681,9,credit_card,18,2,10,0,artes,0.632985257985258
O04489,0,2,460.51,52.32,0.3193,1,credit_card,13,2,10,0,eletroportateis,0.5134474327628362
O03154,0,1,52.59,5.7,0.1084,12,boleto,25,2,10,0,casa_conforto_2,0.75
O04097,1,1,58.47,8.54,0.1461,1,debit_card,12,2,10,0,casa_construcao,0.5097087378640777
O01277,0,1,411.09,48.79,0.1187,1,credit_card,18,2,10,0,construcao_ferramentas,0.5108958837772397
O01892,0,1,63.48,18.24,0.2873,10,credit_card,25,2,10,0,fashion_bolsas,0.5096618357487923
O04346,1,1,498.75,49.59,0.0994,1,credit_card,18,2,10,0,moveis_cozinha,0.5084337349397591
O00414,0,1,73.33,30.4,0.4146,2,debit_card,12,2,10,0,flores,0.3333333333333333
O02947,0,1,84.8,37.93,0.4473,1,voucher,16,2,10,0,moveis_escritorio,0.5083932853717026
O04851,1,2,574.87,45.92,0.0771,4,debit_card,16,2,10,0,dvds_blu_ray,0.507177033492823
O03450,0,1,190.53,25.54,0.134,6,voucher,22,3,10,0,cds_dvds_musicais,0.5095238095238095
O01295,1,1,206.71,27.38,0.1325,9,boleto,7,3,10,0,moveis_quarto,0.5083135391923991
O04519,1,5,1857.95,100.03,0.06,3,boleto,13,3,10,0,alimentos_bebidas,0.5575829383886256
O00215,1,1,489.46,17.52,0.0358,5,credit_card,18,3,10,0,livros_interesse,0.5152224824355972
O03583,0,1,223.06,24.91,0.1117,5,debit_card,18,3,10,0,casa_outros,0.5163551401869159
O00692,1,5,932.66,179.45,0.2373,1,debit_card,7,3,10,0,casa_garagem,0.5151515151515151
O02046,1,1,275.33,12.63,0.0459,10,boleto,10,4,10,0,moveis_jardim,0.5207373271889401
O00018,0,4,919.76,106.25,0.1754,3,boleto,23,4,10,0,flores,0.4747126436781609
O02886,1,2,470.8,44.92,0.0955,1,debit_card,7,4,10,0,audio,0.5170842824601367
